Name,Franchise_Name,Is_Franchise,Platform,Year,Release_Month,Genre,Publisher,Developer,Rating,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Super Robot Taisen F Kanketsuhen,Super Robot Taisen F Kanketsuhen,1,SAT,1998.0,4.0,Strategy,Banpresto,,,0.0,0.0,0.55,0.0,0.55,,,,
Tak and the Power of Juju,Tak and the Power of Juju,1,GBA,2003.0,10.0,Platform,THQ,Avalanche Software,E,0.39,0.15,0.0,0.01,0.55,79.0,28.0,9.2,19.0
Madagascar: Escape 2 Africa,Madagascar,1,Wii,2008.0,11.0,Action,Activision,,,0.31,0.18,0.0,0.05,0.55,,,,
Lips: Number One Hits,Lips,1,X360,2009.0,10.0,Misc,Microsoft Game Studios,iNiS,T,0.15,0.34,0.0,0.06,0.55,70.0,22.0,7.6,7.0
Mortal Kombat 3,Mortal Kombat,1,PS,1995.0,10.0,Fighting,Sony Computer Entertainment,,,0.29,0.2,0.02,0.04,0.55,,,,
Star Wars Battlefront (2015),Star Wars Battlefront (2015),1,PC,2015.0,11.0,Shooter,Electronic Arts,,,0.13,0.38,0.0,0.04,0.55,,,,
Turok: Evolution,Turok,1,XB,2002.0,8.0,Shooter,Acclaim Entertainment,Acclaim,M,0.39,0.14,0.0,0.02,0.55,68.0,25.0,6.7,9.0
Grease,Grease,1,Wii,2010.0,8.0,Misc,505 Games,,,0.26,0.24,0.0,0.05,0.55,,,,
Jak X: Combat Racing,Jak,1,PS2,2005.0,10.0,Racing,Sony Computer Entertainment,Naughty Dog,T,0.45,0.02,0.0,0.07,0.55,76.0,46.0,7.7,63.0
Donkey Kong Jungle Climber,Donkey Kong Jungle Climber,0,DS,2007.0,9.0,Platform,Nintendo,,,0.25,0.03,0.24,0.03,0.55,,,,
American Idol,American Idol,1,PS2,2003.0,11.0,Misc,Codemasters,Hothouse Creations,E,0.27,0.21,0.0,0.07,0.55,41.0,14.0,4.8,12.0
Top Gun: Fire at Will!,Top Gun,1,PS,1996.0,6.0,Misc,Microprose,,,0.3,0.21,0.0,0.04,0.55,,,,
Barbie Horse Adventures: Riding Camp,Barbie Horse Adventures,1,DS,2008.0,10.0,Sports,Activision,Activision,E,0.5,0.0,0.0,0.04,0.55,,,tbd,
Red Dead Revolver,Red Dead Revolver,1,XB,2004.0,5.0,Shooter,Take-Two Interactive,Rockstar San Diego,M,0.4,0.12,0.0,0.02,0.55,74.0,61.0,8.5,26.0
CrossworDS,CrossworDS,0,DS,2008.0,5.0,Puzzle,Deep Silver,Nuevo Retro Games,E,0.5,0.0,0.0,0.04,0.55,67.0,19.0,6.8,6.0
Viva Pinata: Pocket Paradise,Viva Pinata,1,DS,2008.0,9.0,Simulation,THQ,Rare Ltd.,E,0.26,0.23,0.0,0.06,0.55,82.0,34.0,7.1,15.0
Petz Catz Clan,Petz Catz Clan,0,DS,2008.0,11.0,Simulation,Ubisoft,Digital Kids,E,0.47,0.03,0.0,0.04,0.54,,,tbd,
ZhuZhu Pets 2: Featuring The Wild Bunch,ZhuZhu Pets,1,DS,2010.0,10.0,Simulation,Activision,Activision,E,0.4,0.1,0.0,0.04,0.54,,,tbd,
Sly Cooper: Thieves in Time,Sly Cooper,1,PS3,2013.0,2.0,Platform,Sony Computer Entertainment Europe,Sanzaru Games,E10+,0.35,0.12,0.0,0.08,0.54,75.0,69.0,8.3,343.0
Iron Man,Iron Man,1,PS2,2008.0,5.0,Action,Sega,Artificial Mind and Movement,T,0.36,0.0,0.0,0.19,0.54,47.0,8.0,5.6,15.0
SingStar Summer Party,SingStar Summer Party,0,PS2,2008.0,4.0,Misc,Sony Computer Entertainment,,,0.0,0.06,0.0,0.48,0.54,,,,
Spec Ops: The Line,Spec Ops,1,PS3,2012.0,6.0,Shooter,Take-Two Interactive,Yager,M,0.19,0.23,0.04,0.08,0.54,77.0,27.0,8,350.0
The SpongeBob SquarePants Movie,The SpongeBob SquarePants Movie,1,XB,2004.0,10.0,Platform,THQ,Heavy Iron Studios,E,0.4,0.12,0.0,0.02,0.54,74.0,14.0,8.5,8.0
NHL 14,NHL,1,PS3,2013.0,9.0,Sports,Electronic Arts,Electronic Arts,E10+,0.28,0.17,0.0,0.09,0.54,80.0,22.0,6,79.0
F1 2013,F1 2013,1,PS3,2013.0,10.0,Racing,Codemasters,Codemasters Birmingham,E,0.01,0.42,0.03,0.09,0.54,77.0,22.0,6.3,40.0
FIFA Soccer 07,FIFA Soccer,1,XB,2006.0,,Sports,Electronic Arts,,,0.16,0.35,0.0,0.04,0.54,,,,
Gekikuukan Pro Yakyuu: At the End of the Century 1999,Gekikuukan Pro Yakyuu,0,PS2,2000.0,9.0,Sports,SquareSoft,,,0.0,0.0,0.54,0.0,0.54,,,,
Legends of WrestleMania,Legends of WrestleMania,1,PS3,2009.0,3.0,Fighting,THQ,Yuke's,T,0.3,0.16,0.0,0.07,0.54,70.0,43.0,6.5,19.0
Are You Smarter than a 5th Grader? Make the Grade,Are You Smarter than a 5th Grader? Make the Grade,1,Wii,2008.0,10.0,Misc,THQ,THQ,E,0.5,0.0,0.0,0.04,0.54,,,tbd,
Tiger Woods PGA Tour 08,Tiger Woods PGA Tour,1,X360,2007.0,8.0,Sports,Electronic Arts,EA Salt Lake,E,0.49,0.02,0.0,0.04,0.54,80.0,45.0,7.8,26.0
Medarot 2: Kabuto / Kuwagata Version,Medarot,1,GB,1999.0,7.0,Role-Playing,Imagineer,,,0.0,0.0,0.54,0.0,0.54,,,,
Dance Dance Revolution Ultramix,Dance Dance Revolution Ultramix,1,XB,2003.0,11.0,Simulation,Konami Digital Entertainment,Konami Computer Entertainment Hawaii,E,0.42,0.11,0.0,0.02,0.54,82.0,24.0,8.8,10.0
Crash Tag Team Racing,Crash Tag Team Racing,1,PS2,2005.0,10.0,Racing,Vivendi Games,Radical Entertainment,E10+,0.27,0.21,0.0,0.07,0.54,66.0,21.0,7,49.0
Front Mission 4,Front Mission,1,PS2,2003.0,6.0,Strategy,Square Enix,Square Enix,T,0.14,0.11,0.25,0.04,0.54,75.0,39.0,8.6,22.0
The Fairly Odd Parents: Breakin' Da Rules,The Fairly Odd Parents,1,GBA,2003.0,11.0,Platform,THQ,,,0.39,0.14,0.0,0.01,0.54,,,,
Rayman Origins,Rayman Origins,1,PSV,2012.0,2.0,Platform,Ubisoft,UBlart Montpellier,E10+,0.12,0.33,0.0,0.09,0.54,88.0,54.0,8.4,298.0
Ninokuni: Shikkoku no Madoushi,Ninokuni,0,DS,2010.0,,Role-Playing,Level 5,,,0.0,0.0,0.54,0.0,0.54,,,,
F.E.A.R.,F.E.A.R.,1,PS3,2007.0,4.0,Shooter,Vivendi Games,Day 1 Studios,M,0.18,0.26,0.0,0.1,0.54,72.0,31.0,7.4,64.0
Enslaved: Odyssey to the West,Enslaved,1,X360,2010.0,10.0,Action,Namco Bandai Games,Ninja Theory,T,0.3,0.19,0.0,0.05,0.54,82.0,72.0,7.8,295.0
SRS: Street Racing Syndicate,SRS,1,PS2,2004.0,8.0,Racing,Namco Bandai Games,,,0.26,0.21,0.0,0.07,0.54,,,,
Dragon Ball Z: Shin Budokai,Dragon Ball Z,1,PSP,2006.0,3.0,Fighting,Atari,Dimps Corporation,T,0.26,0.08,0.13,0.07,0.54,70.0,21.0,8.1,19.0
Tiger Woods PGA Tour 13,Tiger Woods PGA Tour,1,PS3,2012.0,3.0,Sports,Electronic Arts,Electronic Arts,E,0.24,0.21,0.0,0.08,0.54,75.0,14.0,5.7,9.0
Dynasty Warriors: Gundam 3,Dynasty Warriors,1,PS3,2010.0,6.0,Action,Tecmo Koei,"Omega Force, Koei Tecmo Games",T,0.11,0.04,0.36,0.02,0.54,58.0,18.0,7.5,20.0
Def Jam: Fight for NY,Def Jam,1,XB,,9.0,Fighting,Electronic Arts,Aki Corp.,M,0.43,0.1,0.0,0.02,0.54,84.0,33.0,8.5,13.0
Action Force,Action Force,0,2600,1982.0,1.0,Action,CPG Products,,,0.5,0.03,0.0,0.01,0.54,,,,
FIFA 99,FIFA,1,N64,1998.0,11.0,Sports,Electronic Arts,,,0.11,0.39,0.0,0.03,0.54,,,,
Gauntlet Legends,Gauntlet Legends,1,N64,1999.0,8.0,Action,Midway Games,,,0.43,0.1,0.0,0.01,0.54,,,,
Kidou Senshi Gundam: Extreme VS,Kidou Senshi Gundam,1,PS3,2011.0,12.0,Fighting,Namco Bandai Games,,,0.0,0.0,0.54,0.0,0.54,,,,
System 3 presents Ferrari Challenge Trofeo Pirelli,System 3 presents Ferrari Challenge Trofeo Pirelli,1,Wii,2008.0,8.0,Racing,System 3 Arcade Software,,,0.07,0.4,0.0,0.07,0.54,,,,
Tony Hawk: Shred,Tony Hawk,1,Wii,2010.0,10.0,Sports,Activision,Robomodo,E,0.39,0.11,0.0,0.04,0.54,,,7,7.0
Tiger Woods PGA Tour 11,Tiger Woods PGA Tour,1,Wii,2010.0,6.0,Sports,Electronic Arts,EA Sports,E,0.23,0.25,0.0,0.06,0.54,84.0,29.0,8.3,23.0
NBA Live 10,NBA Live,1,PS3,2009.0,10.0,Sports,Electronic Arts,EA Canada,E,0.46,0.02,0.01,0.05,0.54,81.0,32.0,7.5,25.0
Metro 2033,Metro 2033,1,X360,2010.0,3.0,Shooter,THQ,4A Games,M,0.22,0.23,0.03,0.05,0.54,77.0,83.0,7.9,351.0
Bust A Groove,Bust A Groove,1,PS,1998.0,10.0,Misc,Sony Computer Entertainment,,,0.09,0.06,0.35,0.04,0.54,,,,
Fire Emblem: Path of Radiance,Fire Emblem,1,GC,2005.0,10.0,Action,Nintendo,Intelligent Systems,T,0.29,0.08,0.16,0.01,0.54,85.0,42.0,8.9,141.0
Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,Dragon Quest Characters,0,PS2,2002.0,10.0,Role-Playing,Enix Corporation,,,0.0,0.0,0.54,0.0,0.54,,,,
Hotel Dusk: Room 215,Hotel Dusk,0,DS,2007.0,1.0,Adventure,Nintendo,Cing,T,0.26,0.04,0.22,0.03,0.54,78.0,57.0,8.6,102.0
Final Fantasy Explorers,Final Fantasy Explorers,0,3DS,2014.0,1.0,Role-Playing,Square Enix,Racjin,E10+,0.16,0.07,0.28,0.02,0.54,69.0,57.0,7,87.0
Pachi-Slot Aruze Oukoku 2,Pachi-Slot Aruze Oukoku,1,PS,1999.0,11.0,Misc,Aruze Corp,,,0.0,0.0,0.5,0.04,0.54,,,,
Bratz: Rock Angelz,Bratz,1,GBA,2004.0,1.0,Misc,THQ,Altron,E,0.39,0.14,0.0,0.01,0.54,,,,
SSX Tricky,SSX Tricky,1,GC,2001.0,12.0,Sports,Electronic Arts,EA Sports Big,E,0.42,0.11,0.0,0.01,0.54,87.0,20.0,8.6,18.0
Greg Hastings' Tournament Paintball,Greg Hastings' Tournament Paintball,0,XB,2004.0,11.0,Shooter,Activision,WXP,T,0.46,0.06,0.0,0.02,0.54,74.0,11.0,9.2,42.0
World Soccer Winning Eleven 7 International (JP version),World Soccer Winning Eleven 7 International (JP version),0,PS2,2004.0,2.0,Sports,Konami Digital Entertainment,,,0.0,0.0,0.54,0.0,0.54,,,,
ESPN NBA Basketball,ESPN NBA Basketball,1,PS2,2003.0,10.0,Sports,Sega,Visual Concepts,E,0.26,0.21,0.0,0.07,0.54,89.0,18.0,8.4,38.0
Dragon Ball Z: Ultimate Tenkaichi,Dragon Ball Z,1,X360,2011.0,10.0,Fighting,Namco Bandai Games,Spike,T,0.39,0.1,0.01,0.04,0.54,55.0,24.0,5.8,52.0
Sacred 2: Fallen Angel,Sacred,1,X360,2009.0,5.0,Role-Playing,Deep Silver,"Ascaron Entertainment GmbH, Ascaron Entertainment",M,0.29,0.16,0.04,0.05,0.54,71.0,56.0,7.3,64.0
Two Worlds II,Two Worlds,1,X360,2011.0,1.0,Role-Playing,Unknown,Reality Pump,M,0.4,0.07,0.03,0.03,0.54,67.0,50.0,6.6,140.0
Over the Hedge,Over the Hedge,1,PS2,2006.0,5.0,Platform,Activision,Edge of Reality,E10+,0.45,0.02,0.0,0.07,0.54,58.0,29.0,8.6,10.0
Mat Hoffman's Pro BMX,Mat Hoffman's Pro BMX,1,PS,2001.0,5.0,Sports,Activision,Shaba Games,E,0.3,0.2,0.0,0.04,0.54,80.0,15.0,8.6,16.0
Phineas and Ferb: Across the 2nd Dimension,Phineas and Ferb,1,DS,2011.0,8.0,Action,Disney Interactive Studios,Altron,E,0.31,0.18,0.0,0.05,0.54,47.0,5.0,tbd,
50 Classic Games,50 Classic Games,1,DS,2009.0,7.0,Misc,Destineer,Cerasus Media,E,0.5,0.0,0.0,0.04,0.54,,,tbd,
Let's Draw!,Let's Draw!,0,DS,2008.0,3.0,Misc,Ubisoft,,,0.24,0.23,0.0,0.06,0.54,,,,
NHL 14,NHL,1,X360,2013.0,9.0,Sports,Electronic Arts,Electronic Arts,E10+,0.4,0.09,0.0,0.05,0.54,81.0,30.0,5.9,92.0
Popeye,Popeye,1,2600,1982.0,1.0,Platform,Parker Bros.,,,0.5,0.03,0.0,0.01,0.54,,,,
Petz Nursery,Petz Nursery,0,DS,2009.0,11.0,Simulation,Ubisoft,Digital Kids,E,0.5,0.0,0.0,0.04,0.54,,,tbd,
The Hobbit,The Hobbit,1,PS2,2003.0,11.0,Platform,Vivendi Games,Inevitable Entertainment,E,0.26,0.2,0.0,0.07,0.54,59.0,17.0,8.6,14.0
War of the Monsters,War of the Monsters,0,PS2,2003.0,1.0,Fighting,Sony Computer Entertainment,Incognito Inc.,T,0.26,0.2,0.0,0.07,0.54,80.0,41.0,8.9,68.0
Harry Potter and the Deathly Hallows - Part 1,Harry Potter and the Deathly Hallows,1,Wii,2010.0,11.0,Action,Electronic Arts,Electronic Arts,T,0.22,0.27,0.0,0.05,0.54,41.0,8.0,5,11.0
NBA Street Vol. 2,NBA Street Vol.,1,GC,,4.0,Sports,Electronic Arts,Electronic Arts,E,0.41,0.11,0.0,0.01,0.54,88.0,16.0,8.1,7.0
The Incredible Hulk: Ultimate Destruction,The Incredible Hulk,1,PS2,2005.0,8.0,Action,Vivendi Games,Radical Entertainment,T,0.26,0.2,0.0,0.07,0.54,83.0,41.0,8.7,38.0
Time Crisis: Razing Storm,Time Crisis,1,PS3,2010.0,10.0,Shooter,Namco Bandai Games,Nex Entertainment,T,0.18,0.2,0.07,0.08,0.54,58.0,49.0,5.9,15.0
Summer Sports: Paradise Island,Summer Sports,1,Wii,2008.0,4.0,Sports,Ubisoft,Destineer,E,0.48,0.01,0.0,0.04,0.53,46.0,7.0,4.6,7.0
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",Sakura Taisen,0,SAT,1998.0,4.0,Adventure,Sega,,,0.0,0.0,0.53,0.0,0.53,,,,
Time Crisis II,Time Crisis,1,PS2,2001.0,10.0,Shooter,Namco Bandai Games,Namco,T,0.26,0.2,0.0,0.07,0.53,81.0,21.0,7.9,20.0
Inazuma Eleven GO,Inazuma Eleven GO,1,3DS,2011.0,,Role-Playing,Nintendo,,,0.0,0.05,0.48,0.0,0.53,,,,
Clock Tower,Clock Tower,1,PS,1996.0,9.0,Adventure,ASCII Entertainment,,,0.07,0.05,0.38,0.03,0.53,,,,
NCAA March Madness 06,NCAA March Madness,1,PS2,2005.0,10.0,Sports,Electronic Arts,EA Canada,E,0.45,0.02,0.0,0.07,0.53,78.0,19.0,9.1,13.0
LEGO Dimensions,LEGO Dimensions,1,WiiU,2015.0,9.0,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,E10+,0.3,0.18,0.0,0.05,0.53,62.0,5.0,6.5,29.0
Valkyria Chronicles II,Valkyria Chronicles,1,PSP,2010.0,8.0,Role-Playing,Sega,Sega,T,0.12,0.15,0.18,0.09,0.53,83.0,54.0,8.1,67.0
Jampack Volume 11,Jampack Volume,1,PS2,2004.0,10.0,Misc,Sony Computer Entertainment,,,0.26,0.2,0.0,0.07,0.53,,,,
Monster High: Ghoul Spirit,Monster High,1,Wii,2011.0,10.0,Misc,THQ,THQ,E,0.42,0.07,0.0,0.04,0.53,,,tbd,
Tatsunoko vs. Capcom: Ultimate All-Stars,Tatsunoko vs. Capcom,1,Wii,2010.0,1.0,Fighting,Capcom,Eighting,T,0.3,0.15,0.03,0.05,0.53,85.0,62.0,8.8,85.0
Rune Factory: A Fantasy Harvest Moon,Rune Factory,1,DS,2006.0,8.0,Role-Playing,Rising Star Games,Neverland,E,0.35,0.01,0.14,0.03,0.53,78.0,26.0,8.1,52.0
Legacy of Kain: Defiance,Legacy of Kain,1,PS2,2003.0,11.0,Action,Eidos Interactive,Crystal Dynamics,M,0.26,0.2,0.0,0.07,0.53,75.0,34.0,9.3,49.0
SpongeBob SquarePants: Game Boy Advance Video Volume 2,SpongeBob SquarePants,1,GBA,2004.0,5.0,Misc,,,,0.38,0.14,0.0,0.01,0.53,,,,
NCAA March Madness 2005,NCAA March Madness 2005,1,PS2,2004.0,11.0,Sports,Electronic Arts,EA Canada,E,0.44,0.02,0.0,0.07,0.53,78.0,19.0,8.3,13.0
007 Racing,007 Racing,0,PS,2000.0,11.0,Racing,Electronic Arts,Eutechnyx,T,0.3,0.2,0.0,0.03,0.53,51.0,16.0,4.6,14.0
Tactics Ogre: Let Us Cling Together,Tactics Ogre,1,PSP,2010.0,2.0,Role-Playing,Square Enix,Square Enix,T,0.15,0.07,0.27,0.05,0.53,87.0,49.0,8.8,102.0
Conflict: Vietnam,Conflict,1,PS2,2004.0,10.0,Shooter,SCi,Pivotal Games,M,0.26,0.2,0.0,0.07,0.53,58.0,24.0,8.1,21.0
Dragon's Crown,Dragon's Crown,1,PS3,2013.0,8.0,Role-Playing,Nippon Ichi Software,Vanillaware,T,0.25,0.07,0.17,0.05,0.53,82.0,62.0,8.3,288.0
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2 in 1 Combo Pack,1,XB,2004.0,1.0,Misc,Sega,,,0.4,0.11,0.0,0.02,0.53,,,,
MLB SlugFest 20-04,MLB SlugFest 20-04,1,PS2,2003.0,3.0,Sports,Midway Games,Midway,E,0.26,0.2,0.0,0.07,0.53,78.0,23.0,8.3,8.0
Gex 3: Deep Cover Gecko,Gex,1,PS,1999.0,3.0,Platform,Eidos Interactive,,,0.3,0.2,0.0,0.03,0.53,,,,
NASCAR 09,NASCAR,1,PS2,2008.0,6.0,Racing,Electronic Arts,EA Tiburon,E,0.26,0.2,0.0,0.07,0.53,,,7.9,8.0
Blitz: The League,Blitz,1,XB,2004.0,10.0,Sports,Midway Games,Midway,M,0.4,0.11,0.0,0.02,0.53,78.0,30.0,7.7,14.0
Manhunt 2,Manhunt,1,Wii,2007.0,10.0,Action,Take-Two Interactive,Rockstar Toronto,M,0.25,0.23,0.0,0.06,0.53,62.0,38.0,7.1,46.0
Just Dance 2015,Just Dance 2015,1,XOne,2014.0,10.0,Misc,Ubisoft,Ubisoft,E10+,0.35,0.13,0.0,0.05,0.53,70.0,17.0,7.5,20.0
Jampack Vol. 2,Jampack Vol.,1,PS,1996.0,1.0,Misc,Sony Computer Entertainment,,,0.3,0.2,0.0,0.03,0.53,,,,
The LEGO Movie Videogame,The LEGO Movie Videogame,1,XOne,2014.0,2.0,Action,Warner Bros. Interactive Entertainment,TT Games,E10+,0.35,0.13,0.0,0.05,0.53,69.0,18.0,6.9,49.0
Virtual Soccer,Virtual Soccer,0,SNES,1993.0,1.0,Sports,Hudson Soft,,,0.0,0.0,0.53,0.0,0.53,,,,
Overwatch,Overwatch,1,PC,2016.0,5.0,Shooter,Activision,Blizzard Entertainment,T,0.25,0.24,0.0,0.04,0.53,91.0,62.0,6.8,4052.0
Romance of the Three Kingdoms IV: Wall of Fire,Romance of the Three Kingdoms,1,SNES,1994.0,1.0,Strategy,Tecmo Koei,,,0.0,0.0,0.53,0.0,0.53,,,,
Monster Jam: Path of Destruction,Monster Jam,1,Wii,2010.0,11.0,Racing,Activision,Virtuos,E,0.48,0.02,0.0,0.03,0.53,,,tbd,
Winning Post,Winning Post,1,SNES,1993.0,9.0,Sports,Tecmo Koei,,,0.0,0.0,0.53,0.0,0.53,,,,
Peter Jackson's King Kong: The Official Game of the Movie,Peter Jackson's King Kong,1,XB,2005.0,11.0,Action,Ubisoft,Ubisoft Montpellier,T,0.34,0.17,0.0,0.02,0.53,82.0,43.0,8.5,11.0
Burnout Revenge,Burnout Revenge,1,XB,2005.0,9.0,Racing,Electronic Arts,Criterion Games,E10+,0.32,0.19,0.0,0.01,0.53,89.0,65.0,8.4,66.0
Medal of Honor: European Assault,Medal of Honor,1,XB,2005.0,6.0,Shooter,Electronic Arts,EA LA,T,0.32,0.19,0.0,0.02,0.53,72.0,42.0,7,15.0
Ty the Tasmanian Tiger 2: Bush Rescue,Ty the Tasmanian Tiger,1,PS2,2004.0,10.0,Platform,Electronic Arts,Krome Studios,E,0.26,0.2,0.0,0.07,0.53,71.0,24.0,8.2,22.0
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings,1,XB,2002.0,9.0,Action,Universal Interactive,WXP,T,0.31,0.19,0.0,0.03,0.53,59.0,23.0,6.6,10.0
NBA 06,NBA,1,PS2,2005.0,11.0,Sports,Sony Computer Entertainment,SCEA Sports Studio,E,0.26,0.2,0.0,0.07,0.53,63.0,26.0,6.3,27.0
Inazuma Eleven,Inazuma Eleven,1,DS,2008.0,8.0,Role-Playing,Nintendo,,,0.0,0.13,0.38,0.02,0.53,,,,
Excite Truck,Excite Truck,0,Wii,2006.0,11.0,Racing,Nintendo,Monster Games Inc.,E,0.39,0.03,0.08,0.04,0.53,72.0,57.0,8.4,83.0
Phoenix Wright: Ace Attorney - Justice for All,Phoenix Wright,1,DS,2006.0,1.0,Adventure,Capcom,,,0.21,0.04,0.26,0.03,0.53,,,,
Spider-Man,Spider-Man,1,N64,2000.0,11.0,Action,Activision,,,0.43,0.09,0.0,0.01,0.53,,,,
Magician's Quest: Mysterious Times,Magician's Quest,1,DS,2008.0,5.0,Role-Playing,Konami Digital Entertainment,Konami,E10+,0.04,0.01,0.48,0.0,0.53,69.0,13.0,7.6,9.0
Hello Kitty: Big City Dreams,Hello Kitty,1,DS,2008.0,11.0,Puzzle,Empire Interactive,Human Soft,E,0.42,0.07,0.0,0.04,0.53,,,tbd,
X-Men Legends,X-Men Legends,1,GC,2004.0,9.0,Role-Playing,Activision,Raven Software,T,0.41,0.11,0.0,0.01,0.53,81.0,36.0,8.5,11.0
Mario & Sonic at the Rio 2016 Olympic Games,Mario & Sonic at the Rio 2016 Olympic Games,1,3DS,2016.0,3.0,Action,Nintendo,,,0.05,0.21,0.25,0.02,0.53,,,,
G-Force,G-Force,1,DS,2009.0,7.0,Action,Disney Interactive Studios,Keen Games,E10+,0.26,0.21,0.0,0.05,0.53,,,9,5.0
Front Mission 2,Front Mission,1,PS,1997.0,9.0,Strategy,SquareSoft,,,0.0,0.0,0.49,0.03,0.53,,,,
StarCraft II: Legacy of the Void,StarCraft,1,PC,2015.0,11.0,Strategy,Activision,Blizzard Entertainment,T,0.19,0.29,0.0,0.04,0.53,88.0,62.0,8.3,833.0
Jewel Master Egypt,Jewel Master Egypt,0,DS,2009.0,11.0,Puzzle,Rondomedia,Storm City Games,E,0.21,0.27,0.0,0.05,0.53,56.0,9.0,tbd,
ModNation Racers,ModNation Racers,1,PSP,2010.0,5.0,Racing,Sony Computer Entertainment,SCEA San Diego Studios,E,0.11,0.26,0.02,0.14,0.53,73.0,22.0,7.7,22.0
LEGO Dimensions,LEGO Dimensions,1,X360,2015.0,9.0,Action,Warner Bros. Interactive Entertainment,,,0.26,0.23,0.0,0.04,0.53,,,6.1,18.0
WWE SmackDown vs. Raw 2010,WWE SmackDown vs. Raw 2010,1,DS,2009.0,10.0,Fighting,THQ,Yuke's,T,0.35,0.13,0.0,0.05,0.53,75.0,7.0,8.3,4.0
Are You Smarter Than A 5th Grader?,Are You Smarter Than A 5th Grader?,0,DS,2007.0,11.0,Misc,Mindscape,ValuSoft,E,0.48,0.0,0.0,0.04,0.53,,,tbd,
Oni,Oni,0,PS2,2001.0,1.0,Action,Take-Two Interactive,Rockstar Toronto,T,0.26,0.2,0.0,0.07,0.53,69.0,24.0,7.8,22.0
Tom Clancy's Ghost Recon Advanced Warfighter 2,Tom Clancy's Ghost Recon Advanced Warfighter,1,PSP,2007.0,8.0,Shooter,Ubisoft,"High Voltage Software, Ubisoft Paris",T,0.35,0.09,0.0,0.08,0.53,61.0,12.0,6.4,9.0
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,SpongeBob SquarePants featuring Nicktoons,1,Wii,2008.0,10.0,Action,THQ,Incinerator Games,E,0.49,0.0,0.0,0.04,0.53,47.0,5.0,5.4,10.0
Terminator Salvation,Terminator Salvation,1,PS3,2009.0,5.0,Shooter,Warner Bros. Interactive Entertainment,GRIN,T,0.13,0.28,0.01,0.1,0.53,43.0,41.0,3.9,70.0
How to Train Your Dragon,How to Train Your Dragon,1,DS,2010.0,3.0,Action,Activision,Griptonite Games,E10+,0.31,0.17,0.0,0.05,0.53,60.0,8.0,tbd,
The Lord of the Rings: The Two Towers,The Lord of the Rings,1,GC,2002.0,12.0,Action,Electronic Arts,Stormfront Studios,T,0.41,0.11,0.0,0.01,0.53,82.0,13.0,8.7,23.0
Batman: Arkham City,Batman,1,PC,2011.0,11.0,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,T,0.16,0.28,0.0,0.09,0.53,91.0,27.0,8.6,1847.0
Juiced,Juiced,1,PS2,2005.0,6.0,Racing,THQ,Juice Games,T,0.26,0.2,0.0,0.07,0.53,68.0,36.0,7.7,24.0
The Warriors,The Warriors,1,PS2,2005.0,10.0,Action,Take-Two Interactive,Rockstar Toronto,M,0.44,0.02,0.0,0.07,0.53,84.0,52.0,8.5,72.0
J-League Soccer: Prime Goal 2,J-League Soccer,1,SNES,1994.0,8.0,Sports,Namco Bandai Games,,,0.0,0.0,0.53,0.0,0.53,,,,
Star Fox Command,Star Fox Command,0,DS,2006.0,8.0,Shooter,Nintendo,Q-Games,E10+,0.38,0.01,0.1,0.04,0.53,76.0,56.0,7.3,56.0
Dragon Age: Inquisition,Dragon Age,1,X360,2014.0,11.0,Role-Playing,Electronic Arts,BioWare,M,0.36,0.12,0.0,0.05,0.53,,,5.1,235.0
Wayne Gretzky's 3D Hockey,Wayne Gretzky's 3D Hockey,0,N64,1996.0,11.0,Sports,Nintendo,,,0.49,0.03,0.0,0.0,0.53,,,,
NASCAR 2000,NASCAR 2000,1,N64,1999.0,9.0,Racing,Electronic Arts,,,0.49,0.03,0.0,0.0,0.53,,,,
Pachi-Slot Aruze Oukoku 4,Pachi-Slot Aruze Oukoku,1,PS,2000.0,12.0,Misc,Aruze Corp,,,0.0,0.0,0.49,0.03,0.53,,,,
Bulletstorm,Bulletstorm,1,PS3,2011.0,2.0,Shooter,Electronic Arts,"Epic Games, People Can Fly",M,0.23,0.2,0.01,0.08,0.53,83.0,57.0,7.7,288.0
Return to Castle Wolfenstein: Operation Resurrection,Return to Castle Wolfenstein,1,PS2,2003.0,5.0,Shooter,Activision,Raster,M,0.26,0.2,0.0,0.07,0.53,66.0,21.0,8,23.0
Mario Tennis: Power Tour,Mario Tennis,1,GBA,2005.0,12.0,Sports,Nintendo,Camelot Software Planning,E,0.24,0.09,0.19,0.01,0.52,81.0,21.0,8,25.0
Seaman,Seaman,1,DC,1999.0,8.0,Simulation,Sega,Vivarium,T,0.0,0.0,0.52,0.0,0.52,82.0,24.0,8.4,16.0
The Grinch,The Grinch,0,PS,1999.0,1.0,Adventure,Konami Digital Entertainment,VU Games,E,0.29,0.2,0.0,0.03,0.52,55.0,8.0,,
